Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Budgeted Sales,Operating Profit,Operating Margin,Sales Method
Walmart,1185732,4/21/2020,Northeast,New York,New York,Women's Street Footwear,$50.00 ,925,"$462,500 ","$407,000 ","$161,875 ",35%,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Women's Athletic Footwear,$50.00 ,900,"$450,000 ","$396,000 ","$157,500 ",35%,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Men's Apparel,$60.00 ,900,"$540,000 ","$475,200 ","$162,000 ",30%,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Women's Apparel,$65.00 ,"1,000","$650,000 ","$572,000 ","$162,500 ",25%,Outlet
Walmart,1185732,4/25/2020,Northeast,New York,New York,Men's Apparel,$65.00 ,875,"$568,750 ","$500,500 ","$170,625 ",30%,Outlet
Walmart,1185732,4/26/2020,Northeast,New York,New York,Women's Apparel,$70.00 ,"1,000","$700,000 ","$616,000 ","$175,000 ",25%,Outlet
Walmart,1185732,4/27/2020,Northeast,New York,New York,Men's Street Footwear,$65.00 ,"1,150","$747,500 ","$657,800 ","$373,750 ",50%,Outlet
Walmart,1185732,4/28/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,975,"$536,250 ","$471,900 ","$160,875 ",30%,Outlet
Walmart,1185732,4/29/2020,Northeast,New York,New York,Women's Street Footwear,$55.00 ,920,"$506,000 ","$445,280 ","$177,100 ",35%,Outlet
Walmart,1185732,4/30/2020,Northeast,New York,New York,Women's Athletic Footwear,$55.00 ,900,"$495,000 ","$435,600 ","$173,250 ",35%,Outlet
Walmart,1185732,5/1/2020,Northeast,New York,New York,Men's Apparel,$65.00 ,875,"$568,750 ","$500,500 ","$170,625 ",30%,Outlet
Walmart,1185732,5/2/2020,Northeast,New York,New York,Women's Apparel,$70.00 ,975,"$682,500 ","$600,600 ","$170,625 ",25%,Outlet
Walmart,1185732,5/3/2020,Northeast,New York,New York,Men's Street Footwear,$65.00 ,"1,200","$780,000 ","$686,400 ","$390,000 ",50%,Outlet
Walmart,1185732,5/4/2020,Northeast,New York,New York,Men's Athletic Footwear,$55.00 ,"1,000","$550,000 ","$484,000 ","$165,000 ",30%,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Women's Street Footwear,$55.00 ,950,"$522,500 ","$459,800 ","$182,875 ",35%,Outlet
Walmart,1185732,5/6/2020,Northeast,New York,New York,Women's Athletic Footwear,$55.00 ,900,"$495,000 ","$435,600 ","$173,250 ",35%,Outlet
Walmart,1185732,5/7/2020,Northeast,New York,New York,Men's Apparel,$65.00 ,900,"$585,000 ","$514,800 ","$175,500 ",30%,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,Women's Apparel,$70.00 ,"1,000","$700,000 ","$616,000 ","$175,000 ",25%,Outlet
Sports Direct,1197831,7/19/2020,Northeast,New York,New York,Men's Street Footwear,$25.00 ,900,"$225,000 ","$198,000 ","$78,750 ",35%,Outlet
Sports Direct,1197831,7/20/2020,Northeast,New York,New York,Men's Athletic Footwear,$35.00 ,900,"$315,000 ","$277,200 ","$110,250 ",35%,Outlet
Sports Direct,1197831,7/21/2020,Northeast,New York,New York,Women's Street Footwear,$35.00 ,700,"$245,000 ","$215,600 ","$85,750 ",35%,Outlet
Sports Direct,1197831,7/22/2020,Northeast,New York,New York,Women's Athletic Footwear,$35.00 ,700,"$245,000 ","$215,600 ","$110,250 ",45%,Outlet
Sports Direct,1197831,7/23/2020,South,Texas,Houston,Men's Apparel,$40.00 ,550,"$220,000 ","$193,600 ","$66,000 ",30%,Outlet
Sports Direct,1197831,7/24/2020,South,Texas,Houston,Women's Apparel,$35.00 ,700,"$245,000 ","$215,600 ","$122,500 ",50%,Outlet
Sports Direct,1197831,7/25/2020,South,Texas,Houston,Men's Street Footwear,$25.00 ,850,"$212,500 ","$187,000 ","$74,375 ",35%,Outlet
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Men's Athletic Footwear,$35.00 ,850,"$297,500 ","$261,800 ","$104,125 ",35%,Outlet
Sports Direct,1197831,7/27/2020,South,Texas,Houston,Women's Street Footwear,$35.00 ,675,"$236,250 ","$207,900 ","$82,688 ",35%,Outlet
Sports Direct,1197831,7/28/2020,South,Texas,Houston,Women's Athletic Footwear,$35.00 ,625,"$218,750 ","$192,500 ","$98,438 ",45%,Outlet
Sports Direct,1197831,7/29/2020,South,Texas,Houston,Men's Apparel,$40.00 ,500,"$200,000 ","$176,000 ","$60,000 ",30%,Outlet
Sports Direct,1197831,7/30/2020,South,Texas,Houston,Women's Apparel,$35.00 ,700,"$245,000 ","$215,600 ","$122,500 ",50%,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Men's Street Footwear,$30.00 ,875,"$262,500 ","$231,000 ","$91,875 ",35%,Outlet
Sports Direct,1197831,8/1/2020,South,Texas,Houston,Men's Athletic Footwear,$40.00 ,875,"$350,000 ","$308,000 ","$122,500 ",35%,Outlet
Sports Direct,1197831,8/2/2020,South,Texas,Houston,Women's Street Footwear,$35.00 ,700,"$245,000 ","$215,600 ","$85,750 ",35%,Outlet
Sports Direct,1197831,8/3/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,600,"$240,000 ","$211,200 ","$108,000 ",45%,Outlet
Sports Direct,1197831,8/4/2020,South,Texas,Houston,Men's Apparel,$45.00 ,500,"$225,000 ","$198,000 ","$67,500 ",30%,Outlet
Sports Direct,1197831,8/5/2020,South,Texas,Houston,Women's Apparel,$40.00 ,650,"$260,000 ","$228,800 ","$130,000 ",50%,Outlet
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Men's Street Footwear,$30.00 ,900,"$270,000 ","$237,600 ","$94,500 ",35%,Outlet
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Men's Athletic Footwear,$40.00 ,900,"$360,000 ","$316,800 ","$126,000 ",35%,Outlet
Sports Direct,1197831,8/8/2020,South,Texas,Houston,Women's Street Footwear,$35.00 ,725,"$253,750 ","$223,300 ","$88,813 ",35%,Outlet
Sports Direct,1197831,8/9/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,625,"$250,000 ","$220,000 ","$112,500 ",45%,Outlet
Walmart,1197831,8/10/2020,South,Texas,Houston,Men's Apparel,$45.00 ,525,"$236,250 ","$207,900 ","$70,875 ",30%,Outlet
Walmart,1197831,8/11/2020,South,Texas,Houston,Women's Apparel,$40.00 ,800,"$320,000 ","$281,600 ","$160,000 ",50%,Outlet
Walmart,1197831,8/12/2020,South,Texas,Houston,Men's Street Footwear,$30.00 ,925,"$277,500 ","$244,200 ","$97,125 ",35%,Outlet
Walmart,1197831,8/13/2020,South,Texas,Houston,Men's Athletic Footwear,$40.00 ,925,"$370,000 ","$325,600 ","$129,500 ",35%,Outlet
Walmart,1197831,8/14/2020,South,Texas,Houston,Women's Street Footwear,$35.00 ,775,"$271,250 ","$238,700 ","$94,938 ",35%,Outlet
Walmart,1197831,8/15/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,700,"$280,000 ","$246,400 ","$126,000 ",45%,Outlet
Walmart,1197831,8/16/2020,South,Texas,Houston,Men's Apparel,$45.00 ,600,"$270,000 ","$237,600 ","$81,000 ",30%,Outlet
Walmart,1197831,8/17/2020,South,Texas,Houston,Women's Apparel,$40.00 ,950,"$380,000 ","$334,400 ","$190,000 ",50%,Outlet
Walmart,1197831,8/18/2020,South,Texas,Houston,Men's Street Footwear,$40.00 ,950,"$380,000 ","$334,400 ","$133,000 ",35%,Outlet
Walmart,1197831,8/19/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"$427,500 ","$376,200 ","$149,625 ",35%,Outlet
Walmart,1197831,8/20/2020,South,Texas,Houston,Women's Street Footwear,$40.00 ,800,"$320,000 ","$281,600 ","$112,000 ",35%,Outlet
Walmart,1197831,8/21/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,750,"$300,000 ","$264,000 ","$135,000 ",45%,Outlet
Walmart,1197831,8/22/2020,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ","$257,400 ","$87,750 ",30%,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,Women's Apparel,$50.00 ,"1,000","$500,000 ","$440,000 ","$250,000 ",50%,Outlet
Walmart,1197831,8/24/2020,South,Texas,Houston,Men's Street Footwear,$40.00 ,950,"$380,000 ","$334,400 ","$133,000 ",35%,Outlet
Walmart,1197831,8/25/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"$427,500 ","$376,200 ","$149,625 ",35%,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,Women's Street Footwear,$40.00 ,"1,100","$440,000 ","$387,200 ","$154,000 ",35%,Outlet
Walmart,1197831,8/27/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,700,"$280,000 ","$246,400 ","$126,000 ",45%,Outlet
Walmart,1197831,8/28/2020,South,Texas,Houston,Men's Apparel,$45.00 ,700,"$315,000 ","$277,200 ","$94,500 ",30%,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Women's Apparel,$50.00 ,975,"$487,500 ","$429,000 ","$243,750 ",50%,Outlet
Walmart,1197831,8/30/2020,South,Texas,Houston,Men's Street Footwear,$40.00 ,925,"$370,000 ","$325,600 ","$129,500 ",35%,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,925,"$416,250 ","$366,300 ","$145,688 ",35%,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Women's Street Footwear,$40.00 ,"1,100","$440,000 ","$387,200 ","$154,000 ",35%,Outlet
Walmart,1197831,9/2/2020,South,Texas,Houston,Women's Athletic Footwear,$40.00 ,650,"$260,000 ","$228,800 ","$117,000 ",45%,Outlet
Walmart,1197831,9/3/2020,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ","$257,400 ","$87,750 ",30%,Outlet
Walmart,1197831,9/4/2020,South,Texas,Houston,Women's Apparel,$50.00 ,900,"$450,000 ","$396,000 ","$225,000 ",50%,Outlet
Walmart,1197831,9/5/2020,South,Texas,Houston,Men's Street Footwear,$45.00 ,850,"$382,500 ","$336,600 ","$133,875 ",35%,Outlet
Walmart,1197831,9/6/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,850,"$382,500 ","$336,600 ","$133,875 ",35%,Outlet
Walmart,1197831,9/7/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,900,"$450,000 ","$396,000 ","$157,500 ",35%,Outlet
Walmart,1197831,9/8/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,625,"$312,500 ","$275,000 ","$140,625 ",45%,Outlet
Walmart,1197831,9/9/2020,South,Texas,Houston,Men's Apparel,$45.00 ,625,"$281,250 ","$247,500 ","$84,375 ",30%,Outlet
Walmart,1197831,9/10/2020,South,Texas,Houston,Women's Apparel,$55.00 ,850,"$467,500 ","$411,400 ","$233,750 ",50%,Outlet
Walmart,1197831,9/11/2020,South,Texas,Houston,Men's Street Footwear,$45.00 ,800,"$360,000 ","$316,800 ","$126,000 ",35%,Outlet
Walmart,1197831,9/12/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,800,"$360,000 ","$316,800 ","$126,000 ",35%,Outlet
Walmart,1197831,9/13/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,750,"$375,000 ","$330,000 ","$131,250 ",35%,Outlet
Walmart,1197831,9/14/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,600,"$300,000 ","$264,000 ","$135,000 ",45%,Outlet
Walmart,1197831,9/15/2020,South,Texas,Houston,Men's Apparel,$45.00 ,575,"$258,750 ","$227,700 ","$77,625 ",30%,Outlet
Walmart,1197831,9/16/2020,South,Texas,Houston,Women's Apparel,$55.00 ,750,"$412,500 ","$363,000 ","$206,250 ",50%,Outlet
Walmart,1197831,10/20/2020,South,Texas,Houston,Men's Street Footwear,$45.00 ,900,"$405,000 ","$356,400 ","$141,750 ",35%,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,900,"$405,000 ","$356,400 ","$141,750 ",35%,Outlet
Walmart,1197831,10/22/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,825,"$412,500 ","$363,000 ","$144,375 ",35%,Outlet
Walmart,1197831,10/23/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,675,"$337,500 ","$297,000 ","$151,875 ",45%,Outlet
Walmart,1197831,10/24/2020,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ","$257,400 ","$87,750 ",30%,Outlet
Walmart,1197831,10/25/2020,South,Texas,Houston,Women's Apparel,$55.00 ,850,"$467,500 ","$411,400 ","$233,750 ",50%,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,Men's Street Footwear,$45.00 ,950,"$427,500 ","$376,200 ","$149,625 ",35%,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,Men's Athletic Footwear,$45.00 ,950,"$427,500 ","$376,200 ","$149,625 ",35%,Outlet
Walmart,1197831,10/28/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,850,"$425,000 ","$374,000 ","$148,750 ",35%,Outlet
Walmart,1197831,10/29/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,700,"$350,000 ","$308,000 ","$157,500 ",45%,Outlet
Walmart,1197831,10/30/2020,South,Texas,Houston,Men's Apparel,$45.00 ,650,"$292,500 ","$257,400 ","$87,750 ",30%,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Women's Apparel,$55.00 ,900,"$495,000 ","$435,600 ","$247,500 ",50%,Outlet
West Gear,1128299,11/1/2020,South,Texas,Houston,Men's Street Footwear,$40.00 ,775,"$310,000 ","$272,800 ","$108,500 ",35%,Outlet
West Gear,1128299,11/2/2020,South,Texas,Houston,Men's Athletic Footwear,$50.00 ,775,"$387,500 ","$341,000 ","$77,500 ",20%,Outlet
West Gear,1128299,11/3/2020,South,Texas,Houston,Women's Street Footwear,$50.00 ,775,"$387,500 ","$341,000 ","$135,625 ",35%,Outlet
West Gear,1128299,11/4/2020,South,Texas,Houston,Women's Athletic Footwear,$50.00 ,625,"$312,500 ","$275,000 ","$93,750 ",30%,Outlet
West Gear,1128299,11/5/2020,West,California,San Francisco,Men's Apparel,$55.00 ,575,"$316,250 ","$278,300 ","$158,125 ",50%,Outlet
West Gear,1128299,11/6/2020,West,California,San Francisco,Women's Apparel,$50.00 ,775,"$387,500 ","$341,000 ","$58,125 ",15%,Outlet
West Gear,1128299,11/7/2020,West,California,San Francisco,Men's Street Footwear,$40.00 ,825,"$330,000 ","$290,400 ","$115,500 ",35%,Outlet
West Gear,1128299,11/8/2020,West,California,San Francisco,Men's Athletic Footwear,$50.00 ,725,"$362,500 ","$319,000 ","$72,500 ",20%,Outlet
West Gear,1128299,11/9/2020,West,California,San Francisco,Women's Street Footwear,$50.00 ,725,"$362,500 ","$319,000 ","$126,875 ",35%,Outlet
West Gear,1128299,11/10/2020,West,California,San Francisco,Women's Athletic Footwear,$50.00 ,575,"$287,500 ","$253,000 ","$86,250 ",30%,Outlet
West Gear,1128299,11/11/2020,West,California,San Francisco,Men's Apparel,$55.00 ,500,"$275,000 ","$242,000 ","$137,500 ",50%,Outlet
West Gear,1128299,11/12/2020,West,California,San Francisco,Women's Apparel,$50.00 ,700,"$350,000 ","$308,000 ","$52,500 ",15%,Outlet
West Gear,1128299,11/13/2020,West,California,San Francisco,Men's Street Footwear,$50.00 ,850,"$425,000 ","$374,000 ","$148,750 ",35%,Outlet
West Gear,1128299,11/14/2020,West,California,San Francisco,Men's Athletic Footwear,$60.00 ,700,"$420,000 ","$369,600 ","$84,000 ",20%,Outlet
West Gear,1128299,11/15/2020,West,California,San Francisco,Women's Street Footwear,$60.00 ,700,"$420,000 ","$369,600 ","$147,000 ",35%,Outlet
West Gear,1128299,12/22/2020,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,600,"$360,000 ","$316,800 ","$108,000 ",30%,Outlet
West Gear,1128299,12/23/2020,West,California,San Francisco,Men's Apparel,$65.00 ,500,"$325,000 ","$286,000 ","$162,500 ",50%,Outlet
West Gear,1128299,12/24/2020,West,California,San Francisco,Women's Apparel,$60.00 ,700,"$420,000 ","$369,600 ","$63,000 ",15%,Outlet
West Gear,1128299,12/25/2020,West,California,San Francisco,Men's Street Footwear,$60.00 ,875,"$525,000 ","$462,000 ","$183,750 ",35%,Outlet
West Gear,1128299,12/26/2020,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,675,"$438,750 ","$386,100 ","$87,750 ",20%,Outlet
West Gear,1128299,12/27/2020,West,California,San Francisco,Women's Street Footwear,$65.00 ,725,"$471,250 ","$414,700 ","$164,938 ",35%,Outlet
West Gear,1128299,12/28/2020,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,625,"$375,000 ","$330,000 ","$112,500 ",30%,Outlet
West Gear,1128299,12/29/2020,West,California,San Francisco,Men's Apparel,$65.00 ,525,"$341,250 ","$300,300 ","$170,625 ",50%,Outlet
West Gear,1128299,12/30/2020,West,California,San Francisco,Women's Apparel,$80.00 ,700,"$560,000 ","$492,800 ","$84,000 ",15%,Outlet
West Gear,1128299,12/31/2020,West,California,San Francisco,Men's Street Footwear,$60.00 ,900,"$540,000 ","$475,200 ","$216,000 ",40%,Outlet
West Gear,1128299,1/1/2021,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,750,"$487,500 ","$429,000 ","$121,875 ",25%,Outlet
West Gear,1128299,1/2/2021,West,California,San Francisco,Women's Street Footwear,$65.00 ,750,"$487,500 ","$429,000 ","$195,000 ",40%,Outlet
West Gear,1128299,1/3/2021,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,650,"$390,000 ","$343,200 ","$136,500 ",35%,Outlet
West Gear,1128299,1/4/2021,West,California,San Francisco,Men's Apparel,$65.00 ,550,"$357,500 ","$314,600 ","$196,625 ",55%,Outlet
West Gear,1128299,1/5/2021,West,California,San Francisco,Women's Apparel,$80.00 ,725,"$580,000 ","$510,400 ","$116,000 ",20%,Outlet
West Gear,1128299,1/6/2021,West,California,San Francisco,Men's Street Footwear,$60.00 ,975,"$585,000 ","$514,800 ","$234,000 ",40%,Outlet
West Gear,1128299,1/7/2021,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,825,"$536,250 ","$471,900 ","$134,063 ",25%,Outlet
West Gear,1128299,1/8/2021,West,California,San Francisco,Women's Street Footwear,$65.00 ,825,"$536,250 ","$471,900 ","$214,500 ",40%,Outlet
West Gear,1128299,1/9/2021,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,700,"$420,000 ","$369,600 ","$147,000 ",35%,Outlet
West Gear,1128299,1/10/2021,West,California,San Francisco,Men's Apparel,$65.00 ,575,"$373,750 ","$328,900 ","$205,563 ",55%,Outlet
West Gear,1128299,1/11/2021,West,California,San Francisco,Women's Apparel,$80.00 ,875,"$700,000 ","$616,000 ","$140,000 ",20%,Outlet
West Gear,1128299,1/12/2021,West,California,San Francisco,Men's Street Footwear,$60.00 ,"1,025","$615,000 ","$541,200 ","$215,250 ",35%,Outlet
West Gear,1128299,1/13/2021,West,California,San Francisco,Men's Athletic Footwear,$65.00 ,875,"$568,750 ","$500,500 ","$113,750 ",20%,Outlet
West Gear,1128299,1/14/2021,West,California,San Francisco,Women's Street Footwear,$65.00 ,825,"$536,250 ","$471,900 ","$187,688 ",35%,Outlet
West Gear,1128299,1/15/2021,West,California,San Francisco,Women's Athletic Footwear,$60.00 ,725,"$435,000 ","$382,800 ","$130,500 ",30%,Outlet
West Gear,1128299,1/16/2021,West,California,San Francisco,Men's Apparel,$65.00 ,775,"$503,750 ","$443,300 ","$251,875 ",50%,Outlet
